Group,SSP,X,CDF
North America,SSP1-2.6,1,0.2067099567099567
North America,SSP1-2.6,1,0.2077922077922078
North America,SSP1-2.6,1,0.20887445887445888
North America,SSP1-2.6,1,0.20995670995670995
North America,SSP1-2.6,1,0.21103896103896103
North America,SSP1-2.6,1,0.21212121212121213
North America,SSP1-2.6,1,0.2132034632034632
North America,SSP1-2.6,1,0.21428571428571427
North America,SSP1-2.6,1,0.21536796536796537
North America,SSP1-2.6,1,0.21645021645021645
North America,SSP1-2.6,1,0.21753246753246752
North America,SSP1-2.6,1,0.21861471861471862
North America,SSP1-2.6,1,0.2196969696969697
North America,SSP1-2.6,1,0.22077922077922077
North America,SSP1-2.6,1,0.22186147186147187
North America,SSP1-2.6,1,0.22294372294372294
North America,SSP1-2.6,1,0.22402597402597402
North America,SSP1-2.6,1,0.22510822510822512
North America,SSP1-2.6,1,0.2261904761904762
North America,SSP1-2.6,1,0.22727272727272727
North America,SSP1-2.6,1,0.22835497835497837
North America,SSP1-2.6,1,0.22943722943722944
North America,SSP1-2.6,1,0.2305194805194805
North America,SSP1-2.6,1,0.23160173160173161
North America,SSP1-2.6,1,0.2326839826839827
North America,SSP1-2.6,1,0.23376623376623376
North America,SSP1-2.6,1,0.23484848484848486
North America,SSP1-2.6,1,0.23593073593073594
North America,SSP1-2.6,1,0.237012987012987
North America,SSP1-2.6,1,0.23809523809523808
North America,SSP1-2.6,1,0.23917748917748918
North America,SSP1-2.6,1,0.24025974025974026
North America,SSP1-2.6,1,0.24134199134199133
North America,SSP1-2.6,1,0.24242424242424243
North America,SSP1-2.6,1,0.2435064935064935
North America,SSP1-2.6,1,0.24458874458874458
North America,SSP1-2.6,1,0.24567099567099568
North America,SSP1-2.6,1,0.24675324675324675
North America,SSP1-2.6,1,0.24783549783549783
North America,SSP1-2.6,1,0.24891774891774893
North America,SSP1-2.6,1,0.25
North America,SSP1-2.6,1,0.2510822510822511
North America,SSP1-2.6,1,0.25216450216450215
North America,SSP1-2.6,1,0.2532467532467532
North America,SSP1-2.6,1,0.25432900432900435
North America,SSP1-2.6,1,0.2554112554112554
North America,SSP1-2.6,1,0.2564935064935065
North America,SSP1-2.6,1,0.25757575757575757
North America,SSP1-2.6,1,0.25865800865800864
North America,SSP1-2.6,1,0.2597402597402597
North America,SSP1-2.6,1,0.26082251082251084
North America,SSP1-2.6,1,0.2619047619047619
North America,SSP1-2.6,1,0.262987012987013
North America,SSP1-2.6,1,0.26406926406926406
North America,SSP1-2.6,1,0.26515151515151514
North America,SSP1-2.6,1,0.2662337662337662
North America,SSP1-2.6,1,0.26731601731601734
North America,SSP1-2.6,1,0.2683982683982684
North America,SSP1-2.6,1,0.2694805194805195
North America,SSP1-2.6,1,0.27056277056277056
North America,SSP1-2.6,1,0.27164502164502163
North America,SSP1-2.6,1,0.2727272727272727
North America,SSP1-2.6,1,0.27380952380952384
North America,SSP1-2.6,1,0.2748917748917749
North America,SSP1-2.6,1,0.275974025974026
North America,SSP1-2.6,1,0.27705627705627706
North America,SSP1-2.6,1,0.27813852813852813
North America,SSP1-2.6,1,0.2792207792207792
North America,SSP1-2.6,1,0.2803030303030303
North America,SSP1-2.6,1,0.2813852813852814
North America,SSP1-2.6,1,0.2824675324675325
North America,SSP1-2.6,1,0.28354978354978355
North America,SSP1-2.6,1,0.2846320346320346
North America,SSP1-2.6,1,0.2857142857142857
North America,SSP1-2.6,1,0.28679653679653677
North America,SSP1-2.6,1,0.2878787878787879
North America,SSP1-2.6,1,0.288961038961039
North America,SSP1-2.6,1,0.29004329004329005
North America,SSP1-2.6,1,0.2911255411255411
North America,SSP1-2.6,1,0.2922077922077922
North America,SSP1-2.6,1,0.29329004329004327
North America,SSP1-2.6,1,0.2943722943722944
North America,SSP1-2.6,1,0.29545454545454547
North America,SSP1-2.6,1,0.29653679653679654
North America,SSP1-2.6,1,0.2976190476190476
North America,SSP1-2.6,1,0.2987012987012987
North America,SSP1-2.6,1,0.29978354978354976
North America,SSP1-2.6,1,0.3008658008658009
North America,SSP1-2.6,1,0.30194805194805197
North America,SSP1-2.6,1,0.30303030303030304
North America,SSP1-2.6,1,0.3041125541125541
North America,SSP1-2.6,1,0.3051948051948052
North America,SSP1-2.6,1,0.30627705627705626
North America,SSP1-2.6,1,0.30735930735930733
North America,SSP1-2.6,1,0.30844155844155846
North America,SSP1-2.6,1,0.30952380952380953
North America,SSP1-2.6,1,0.3106060606060606
North America,SSP1-2.6,1,0.3116883116883117
North America,SSP1-2.6,1,0.31277056277056275
North America,SSP1-2.6,1,0.31385281385281383
North America,SSP1-2.6,1,0.31493506493506496
North America,SSP1-2.6,1,0.31601731601731603
North America,SSP1-2.6,1,0.3170995670995671
North America,SSP1-2.6,1,0.3181818181818182
North America,SSP1-2.6,1,0.31926406926406925
North America,SSP1-2.6,1,0.3203463203463203
North America,SSP1-2.6,1,0.32142857142857145
North America,SSP1-2.6,1,0.3225108225108225
North America,SSP1-2.6,1,0.3235930735930736
North America,SSP1-2.6,1,0.3246753246753247
North America,SSP1-2.6,1,0.32575757575757575
North America,SSP1-2.6,1,0.3268398268398268
North America,SSP1-2.6,1,0.32792207792207795
North America,SSP1-2.6,1,0.329004329004329
North America,SSP1-2.6,1,0.3300865800865801
North America,SSP1-2.6,1,0.33116883116883117
North America,SSP1-2.6,1,0.33225108225108224
North America,SSP1-2.6,1,0.3333333333333333
North America,SSP1-2.6,1,0.3344155844155844
North America,SSP1-2.6,1,0.3354978354978355
North America,SSP1-2.6,1,0.3365800865800866
North America,SSP1-2.6,1,0.33766233766233766
North America,SSP1-2.6,1,0.33874458874458874
North America,SSP1-2.6,1,0.3398268398268398
North America,SSP1-2.6,1,0.3409090909090909
North America,SSP1-2.6,1,0.341991341991342
North America,SSP1-2.6,1,0.3430735930735931
North America,SSP1-2.6,1,0.34415584415584416
North America,SSP1-2.6,1,0.34523809523809523
North America,SSP1-2.6,1,0.3463203463203463
North America,SSP1-2.6,1,0.3474025974025974
North America,SSP1-2.6,1,0.3484848484848485
North America,SSP1-2.6,1,0.3495670995670996
North America,SSP1-2.6,1,0.35064935064935066
North America,SSP1-2.6,1,0.35173160173160173
North America,SSP1-2.6,1,0.3528138528138528
North America,SSP1-2.6,1,0.3538961038961039
North America,SSP1-2.6,1,0.354978354978355
North America,SSP1-2.6,1,0.3560606060606061
North America,SSP1-2.6,1,0.35714285714285715
North America,SSP1-2.6,1,0.3582251082251082
North America,SSP1-2.6,1,0.3593073593073593
North America,SSP1-2.6,1,0.36038961038961037
North America,SSP1-2.6,1,0.36147186147186144
North America,SSP1-2.6,1,0.3625541125541126
North America,SSP1-2.6,1,0.36363636363636365
North America,SSP1-2.6,1,0.3647186147186147
North America,SSP1-2.6,1,0.3658008658008658
North America,SSP1-2.6,1,0.36688311688311687
North America,SSP1-2.6,1,0.36796536796536794
North America,SSP1-2.6,1,0.36904761904761907
North America,SSP1-2.6,1,0.37012987012987014
North America,SSP1-2.6,1,0.3712121212121212
North America,SSP1-2.6,1,0.3722943722943723
North America,SSP1-2.6,1,0.37337662337662336
North America,SSP1-2.6,1,0.37445887445887444
North America,SSP1-2.6,1,0.37554112554112556
North America,SSP1-2.6,1,0.37662337662337664
North America,SSP1-2.6,1,0.3777056277056277
North America,SSP1-2.6,1,0.3787878787878788
North America,SSP1-2.6,1,0.37987012987012986
North America,SSP1-2.6,1,0.38095238095238093
North America,SSP1-2.6,1,0.38203463203463206
North America,SSP1-2.6,1,0.38311688311688313
North America,SSP1-2.6,1,0.3841991341991342
North America,SSP1-2.6,1,0.3852813852813853
North America,SSP1-2.6,1,0.38636363636363635
North America,SSP1-2.6,1,0.3874458874458874
North America,SSP1-2.6,1,0.38852813852813856
North America,SSP1-2.6,1,0.38961038961038963
North America,SSP1-2.6,1,0.3906926406926407
North America,SSP1-2.6,2,0.3917748917748918
North America,SSP1-2.6,2,0.39285714285714285
North America,SSP1-2.6,2,0.3939393939393939
North America,SSP1-2.6,2,0.395021645021645
North America,SSP1-2.6,2,0.3961038961038961
North America,SSP1-2.6,2,0.3971861471861472
North America,SSP1-2.6,2,0.39826839826839827
North America,SSP1-2.6,2,0.39935064935064934
North America,SSP1-2.6,2,0.4004329004329004
North America,SSP1-2.6,2,0.4015151515151515
North America,SSP1-2.6,2,0.4025974025974026
North America,SSP1-2.6,2,0.4036796536796537
North America,SSP1-2.6,2,0.40476190476190477
North America,SSP1-2.6,2,0.40584415584415584
North America,SSP1-2.6,2,0.4069264069264069
North America,SSP1-2.6,2,0.408008658008658
North America,SSP1-2.6,2,0.4090909090909091
North America,SSP1-2.6,2,0.4101731601731602
North America,SSP1-2.6,2,0.41125541125541126
North America,SSP1-2.6,2,0.41233766233766234
North America,SSP1-2.6,2,0.4134199134199134
North America,SSP1-2.6,2,0.4145021645021645
North America,SSP1-2.6,2,0.4155844155844156
North America,SSP1-2.6,2,0.4166666666666667
North America,SSP1-2.6,2,0.41774891774891776
North America,SSP1-2.6,2,0.41883116883116883
North America,SSP1-2.6,2,0.4199134199134199
North America,SSP1-2.6,2,0.420995670995671
North America,SSP1-2.6,2,0.42207792207792205
North America,SSP1-2.6,2,0.4231601731601732
North America,SSP1-2.6,2,0.42424242424242425
North America,SSP1-2.6,2,0.4253246753246753
North America,SSP1-2.6,2,0.4264069264069264
North America,SSP1-2.6,2,0.4274891774891775
North America,SSP1-2.6,2,0.42857142857142855
North America,SSP1-2.6,2,0.4296536796536797
North America,SSP1-2.6,2,0.43073593073593075
North America,SSP1-2.6,2,0.4318181818181818
North America,SSP1-2.6,2,0.4329004329004329
North America,SSP1-2.6,2,0.43398268398268397
North America,SSP1-2.6,2,0.43506493506493504
North America,SSP1-2.6,2,0.43614718614718617
North America,SSP1-2.6,2,0.43722943722943725
North America,SSP1-2.6,2,0.4383116883116883
North America,SSP1-2.6,2,0.4393939393939394
North America,SSP1-2.6,2,0.44047619047619047
North America,SSP1-2.6,2,0.44155844155844154
North America,SSP1-2.6,2,0.44264069264069267
North America,SSP1-2.6,2,0.44372294372294374
North America,SSP1-2.6,2,0.4448051948051948
North America,SSP1-2.6,2,0.4458874458874459
North America,SSP1-2.6,2,0.44696969696969696
North America,SSP1-2.6,2,0.44805194805194803
North America,SSP1-2.6,2,0.4491341991341991
North America,SSP1-2.6,2,0.45021645021645024
North America,SSP1-2.6,2,0.4512987012987013
North America,SSP1-2.6,2,0.4523809523809524
North America,SSP1-2.6,2,0.45346320346320346
North America,SSP1-2.6,2,0.45454545454545453
North America,SSP1-2.6,2,0.4556277056277056
North America,SSP1-2.6,2,0.45670995670995673
North America,SSP1-2.6,2,0.4577922077922078
North America,SSP1-2.6,2,0.4588744588744589
North America,SSP1-2.6,2,0.45995670995670995
North America,SSP1-2.6,2,0.461038961038961
North America,SSP1-2.6,2,0.4621212121212121
North America,SSP1-2.6,2,0.46320346320346323
North America,SSP1-2.6,2,0.4642857142857143
North America,SSP1-2.6,2,0.4653679653679654
North America,SSP1-2.6,2,0.46645021645021645
North America,SSP1-2.6,2,0.4675324675324675
North America,SSP1-2.6,2,0.4686147186147186
North America,SSP1-2.6,2,0.4696969696969697
North America,SSP1-2.6,2,0.4707792207792208
North America,SSP1-2.6,2,0.47186147186147187
North America,SSP1-2.6,2,0.47294372294372294
North America,SSP1-2.6,2,0.474025974025974
North America,SSP1-2.6,2,0.4751082251082251
North America,SSP1-2.6,2,0.47619047619047616
North America,SSP1-2.6,2,0.4772727272727273
North America,SSP1-2.6,2,0.47835497835497837
North America,SSP1-2.6,2,0.47943722943722944
North America,SSP1-2.6,2,0.4805194805194805
North America,SSP1-2.6,2,0.4816017316017316
North America,SSP1-2.6,2,0.48268398268398266
North America,SSP1-2.6,2,0.4837662337662338
North America,SSP1-2.6,2,0.48484848484848486
North America,SSP1-2.6,2,0.48593073593073594
North America,SSP1-2.6,2,0.487012987012987
North America,SSP1-2.6,2,0.4880952380952381
North America,SSP1-2.6,2,0.48917748917748916
North America,SSP1-2.6,2,0.4902597402597403
North America,SSP1-2.6,2,0.49134199134199136
North America,SSP1-2.6,2,0.49242424242424243
North America,SSP1-2.6,2,0.4935064935064935
North America,SSP1-2.6,2,0.4945887445887446
North America,SSP1-2.6,2,0.49567099567099565
North America,SSP1-2.6,2,0.4967532467532468
North America,SSP1-2.6,2,0.49783549783549785
North America,SSP1-2.6,2,0.4989177489177489
North America,SSP1-2.6,2,0.5
North America,SSP1-2.6,2,0.5010822510822511
North America,SSP1-2.6,2,0.5021645021645021
North America,SSP1-2.6,2,0.5032467532467533
North America,SSP1-2.6,2,0.5043290043290043
North America,SSP1-2.6,2,0.5054112554112554
North America,SSP1-2.6,2,0.5064935064935064
North America,SSP1-2.6,2,0.5075757575757576
North America,SSP1-2.6,2,0.5086580086580087
North America,SSP1-2.6,2,0.5097402597402597
North America,SSP1-2.6,2,0.5108225108225108
North America,SSP1-2.6,2,0.5119047619047619
North America,SSP1-2.6,2,0.512987012987013
North America,SSP1-2.6,2,0.5140692640692641
North America,SSP1-2.6,2,0.5151515151515151
North America,SSP1-2.6,2,0.5162337662337663
North America,SSP1-2.6,2,0.5173160173160173
North America,SSP1-2.6,2,0.5183982683982684
North America,SSP1-2.6,2,0.5194805194805194
