Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
2,SSP2-4.5,P1,18696.610950842307,19749.877090950304,19274.47606072633,18178.230715128586,20048.9148078984
2,SSP2-4.5,P2,19622.6716815598,20553.04704249422,20112.012576394285,18909.851908786404,21929.33330391511
2,SSP2-4.5,P3,19969.636419246384,22216.229687758423,21196.36438778868,18643.88572557074,23059.810736986157
2,SSP2-4.5,P4,20559.73563736817,22157.598006149274,21250.09871263479,19381.6415899527,24234.09223042739
2,SSP3-7.0,P1,19312.073933053718,20901.25986300541,19788.315167695684,18630.447776500652,21656.59167433963
2,SSP3-7.0,P2,19811.121900267146,21121.7634659859,20387.75596370017,18948.984172880355,22638.161025555077
2,SSP3-7.0,P3,21568.72490834612,22882.2795584094,22038.316694840047,20308.11207638505,23812.75847820539
2,SSP3-7.0,P4,22405.68588614961,25140.50795682294,23354.681383101015,20877.28462380813,28434.02577561367
2,SSP5-8.5,P1,19170.78956025766,20121.76755553521,19629.440851066844,18782.353684843496,20865.546883076346
2,SSP5-8.5,P2,20131.252778352307,21697.871567500428,21262.64985339974,19698.602221437894,22912.918997414272
2,SSP5-8.5,P3,21784.182216289213,24026.93471386575,22807.24129575435,20314.593099025777,26467.84897627093
2,SSP5-8.5,P4,25465.978075326133,28360.051494362124,27508.896415084913,23360.447812284296,30623.321770277467
3,HIST,P0,34886.02531001322,36583.08220193219,35549.79926387132,34249.137606444994,38969.63830727406
3,SSP1-2.6,P1,35292.089032837364,36996.43291706898,36303.5164509266,33791.04070700397,37924.68394142368
3,SSP1-2.6,P2,35491.503714230974,36572.86316192692,36115.68801147203,33872.668130628816,37963.765828536736
3,SSP1-2.6,P3,34091.521265819916,36700.46189405202,35439.11428329692,33077.709429265495,38830.685752543424
3,SSP1-2.6,P4,34046.695293180164,35860.62839239091,35359.537023330035,32265.732553281046,37378.71321026151
3,SSP2-4.5,P1,34919.52622962229,36604.407491316306,35980.09689300034,32753.041892254427,38186.64700688043
3,SSP2-4.5,P2,34514.381392914605,36449.862721121346,35767.576778504386,33109.16165036662,37502.758650420554
3,SSP2-4.5,P3,34690.10473764561,35366.479621575694,35105.77065215976,33815.56278838659,36273.104717956245
3,SSP2-4.5,P4,34221.234765406414,35972.3449465553,34954.48953741374,32490.9417133604,37760.47507410805
3,SSP3-7.0,P1,35008.62500076186,36128.71025632412,35565.806720196575,34380.27527503161,36827.747335303065
3,SSP3-7.0,P2,34727.79483297676,36612.548097877625,35875.52190085844,32094.10218488916,37818.30721113736
3,SSP3-7.0,P3,34992.84206666195,36795.938169419336,35573.27610779958,33453.16584071831,39342.34910279061
3,SSP3-7.0,P4,33539.839521740876,36056.48182364033,34976.46339551633,32051.604477211302,37563.69522219108
3,SSP5-8.5,P1,35508.56590584094,36597.278831219206,36077.09963802775,34014.718597380845,37901.23043313847
3,SSP5-8.5,P2,34866.71296410446,36146.20470633318,35662.77593578724,34539.30180318971,37818.738178246225
3,SSP5-8.5,P3,33678.42623361546,35655.62812885689,34644.42347605879,32587.465764292727,37695.738507701964
3,SSP5-8.5,P4,33228.26385929883,34947.69036764324,34075.96029189286,31947.875685766034,36953.03549965928
4,HIST,P0,18428.150328788677,21016.056183094974,19043.49910925347,17328.63854362465,23734.140344127463
4,SSP1-2.6,P1,20109.569406861618,23522.68795871299,21210.244340499143,18606.420016565222,25964.009239005256
4,SSP1-2.6,P2,20227.533452720898,23450.246370993827,21369.559497380847,19083.681074155105,27489.151211941826
4,SSP1-2.6,P3,21151.56544319342,22686.647627079317,22203.34786261352,19065.174449511574,24533.59360205738
4,SSP1-2.6,P4,19811.584149932736,23297.139117443825,21038.03465404967,17914.414425707255,25347.75732174628
4,SSP2-4.5,P1,21470.90864689639,23469.395118201173,22303.714461488144,18477.138706623868,23825.682292583097
4,SSP2-4.5,P2,21321.82287751721,24257.537206481713,22137.776192920766,18754.548017646295,28178.431284304075
4,SSP2-4.5,P3,22216.676369154873,24042.99909882797,23497.543355741862,20931.073010977096,26068.61952010102
4,SSP2-4.5,P4,22883.381955728,25817.828132560746,24001.75621634163,20299.054155346115,27423.46540896241
4,SSP3-7.0,P1,20165.609462214736,22317.517082912567,21556.765016980717,18736.003405082,24960.184550578426
4,SSP3-7.0,P2,21219.35107463276,23721.477900305745,22823.234826356107,18889.49627173967,25864.653443247138
4,SSP3-7.0,P3,23605.14613491879,26348.168839010683,25339.785627913494,21994.514729157087,28977.132955738358
4,SSP3-7.0,P4,24242.405945952378,27370.105692264042,25606.13865669072,22290.700819520098,29949.260734943564
4,SSP5-8.5,P1,20551.465381115337,22214.87169647796,21529.17201451673,19399.895037786202,24571.315489947327
4,SSP5-8.5,P2,23336.21118459054,25469.81393007384,24437.643124822076,22060.46970562174,27041.107337136575
4,SSP5-8.5,P3,24499.259112837433,25882.6993269087,25591.01345204322,22798.727215383056,27514.036011353557
4,SSP5-8.5,P4,24990.5430961055,30429.899336378192,26708.28221384588,23344.084854919893,34308.446410939316
5,HIST,P0,11270.29892996774,13064.511536657796,11665.346984731945,10552.955673493916,15103.996588426457
5,SSP1-2.6,P1,11731.269251261398,12884.531765746378,12245.951146566451,11185.078385163042,14225.647001092599
5,SSP1-2.6,P2,12116.89152766047,13216.320673395145,12581.510779170138,11162.844873312733,14281.538746363723
5,SSP1-2.6,P3,12178.413851467465,13207.512730183793,12528.280539720668,11427.82660674298,13896.091555843264
5,SSP1-2.6,P4,11296.351959548132,13333.057433602226,11923.875541096579,10817.445822463162,14924.902446216835
5,SSP2-4.5,P1,12576.91810572923,13791.14374650534,13223.533185287732,11668.957842123938,15086.857173886016
5,SSP2-4.5,P2,12041.187991490351,13722.438379225065,12417.00146501229,10768.545821892436,15071.144338043698
5,SSP2-4.5,P3,12778.850491952577,14005.49056316216,13401.542614994567,11591.548277131236,14847.693225887888
5,SSP2-4.5,P4,12592.447214052867,14222.728932321372,13194.625607011367,10797.884891696867,15392.144216706503
5,SSP3-7.0,P1,12557.02291397513,14144.626764683337,13444.043768288948,10984.21669297815,15002.800213999642
5,SSP3-7.0,P2,12978.615036771316,15364.364576425029,14265.361575411325,12184.404062257263,16444.624811634138
5,SSP3-7.0,P3,14656.692594690669,16605.767245114068,15757.939488351458,12654.353267430979,18194.69165054189
5,SSP3-7.0,P4,16097.865855886354,17723.619071263907,16776.554060336508,15267.188099135512,18928.879404356056
5,SSP5-8.5,P1,11744.420792424007,13140.446266351422,12612.932092326224,10589.109169341942,14552.381712883962
5,SSP5-8.5,P2,13621.617239357229,14939.81250174921,14225.271472928818,12284.06833020459,16106.642121501747
5,SSP5-8.5,P3,14238.50472474128,16555.966146361603,15524.680571498682,11974.723671098185,18686.38734815538
5,SSP5-8.5,P4,17511.36467259265,20450.940202836966,19308.03724410692,15279.75739779481,24467.34110265925
6,HIST,P0,42928.16748212795,44736.46793003796,44125.26192782177,42321.03080649373,46414.35396073085
6,SSP1-2.6,P1,44033.65521138203,45581.517874032805,45178.35399281786,43528.701856373766,47351.223037573785
6,SSP1-2.6,P2,43503.87997183204,45519.44541822559,44795.21863473853,42526.000288446965,47154.789691000915
6,SSP1-2.6,P3,44415.62191186131,45949.54468154915,44953.29069172754,43364.756738823926,47682.353353718034
6,SSP1-2.6,P4,44057.05191736824,46851.42759924918,46406.38318837132,43311.57348338105,48174.00914305366
6,SSP2-4.5,P1,44377.93768681635,46449.53181483349,45084.27843994114,42780.04395494336,47607.782719873016
6,SSP2-4.5,P2,45490.759195149134,46830.18165446846,46245.632769041185,43559.650886816285,47619.279838157076
6,SSP2-4.5,P3,45206.897064044206,47883.67534004744,46144.22240061718,42938.54434461368,51660.8014473187
6,SSP2-4.5,P4,45464.93223186707,48193.58636705029,47329.198276505296,44802.12156973611,49647.232432808785
6,SSP3-7.0,P1,44434.18829416675,45922.68515882658,44966.51867813115,42765.22051671664,47856.27902753776
6,SSP3-7.0,P2,45814.56183436924,48231.37393986559,47251.67647537332,44284.03292139637,49653.43253105689
6,SSP3-7.0,P3,46954.52737375414,49855.608494335094,48401.48716724756,45292.44091589375,53071.31457241923
6,SSP3-7.0,P4,48663.27125789791,51333.04579085829,49664.39276933501,47286.95625033154,55112.93876423219
