Region,Title,Category,SSP,Value
Global,h. Global (9592),25~50,SSP3-7.0,17.7
Global,h. Global (9592),50~75,SSP3-7.0,12.6
Global,h. Global (9592),75~100,SSP3-7.0,6.4
Global,h. Global (9592),>100,SSP3-7.0,10.9
Global,h. Global (9592),<0,SSP5-8.5,14.9
Global,h. Global (9592),0~25,SSP5-8.5,33.7
Global,h. Global (9592),25~50,SSP5-8.5,15.6
Global,h. Global (9592),50~75,SSP5-8.5,13.6
Global,h. Global (9592),75~100,SSP5-8.5,7.1
Global,h. Global (9592),>100,SSP5-8.5,15.1
