Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
sa,ssp245,P4,55.31918438730635,56.265665044669014,55.66145667716266,54.54002388774978,57.44106304514092
sa,ssp370,P1,44.862290494410274,47.02275180598272,45.80492769356571,43.18532435396733,48.84990669831738
sa,ssp370,P2,50.95863382548575,53.48987839238349,51.65714549038273,48.748312399108244,56.4166870232051
sa,ssp370,P3,56.99946453654885,60.033920196860954,58.43227873299486,55.30283264010936,61.3897725289657
sa,ssp370,P4,63.164624981082795,67.6465437314896,65.55866569253239,59.695691531601895,68.43692188984897
sa,ssp585,P1,46.14474190252148,50.569793181771956,47.50395824627351,44.943861930856606,51.800155617799255
sa,ssp585,P2,52.902010976148055,56.91048380402591,54.67851360289332,50.59680223792553,59.12951346253986
sa,ssp585,P3,62.0081803736046,65.43875795153127,63.62107634841014,58.19947914307101,67.28778208967975
sa,ssp585,P4,70.63164200778658,74.79581106198741,72.6604787242482,69.02132081217862,77.97796256020959
eu,hist,P0,16.907480194805196,17.999613710674453,17.5872119335092,16.510009036044973,19.035591946248193
eu,ssp126,P1,19.40880020658595,20.66894823429609,20.306483445879927,18.348869192294973,22.23783870964105
eu,ssp126,P2,21.26237140339406,21.81799478725123,21.56137016444204,20.48923004825036,22.31895416140572
eu,ssp126,P3,21.45475762066348,21.96662761497039,21.64518557674964,20.827011951358827,22.19074685282888
eu,ssp126,P4,21.127630422153075,21.786448796089616,21.54423215413059,20.610192379148632,22.197196153123496
eu,ssp245,P1,19.21618896047529,20.627478873650944,20.15275288938492,18.97231306818182,21.710020074254448
eu,ssp245,P2,21.85494746478926,23.08173842291967,22.6737112832191,20.847232819264065,23.574599686973905
eu,ssp245,P3,24.21591020763814,25.043942888520625,24.63866526180706,23.842268622234247,25.673792635431703
eu,ssp245,P4,25.76404515467172,26.70688742099191,26.37347478073142,25.062266174392736,27.52899484953704
eu,ssp370,P1,19.028145569628578,20.589151940536315,20.033504341029342,18.28626108330327,21.524813523253368
eu,ssp370,P2,22.347671307663692,24.135706621648026,23.145878637190357,20.967611103595477,25.642074314574316
eu,ssp370,P3,25.872564204545455,27.833946167121365,27.188091003599986,25.049522049738457,29.5129600825968
eu,ssp370,P4,30.637395479347038,33.03111271748361,32.41236051399411,29.344175380291006,33.92892336422258
eu,ssp585,P1,19.621389211873197,21.431718935824016,20.71295695008117,19.009577185545933,23.43105293786075
eu,ssp585,P2,23.77664060123181,26.63345198769691,24.678356881688913,22.170870919011545,28.39730297431156
eu,ssp585,P3,29.45011406719727,31.974149467047713,30.699199783174002,27.599821436087066,34.191513384965724
eu,ssp585,P4,36.21747353088174,39.50689636093074,38.27540842352092,34.2383094873587,41.12535628908128
af,hist,P0,86.8125376699746,88.08423855049028,87.44882678643157,85.25889214661233,88.9452697743517
af,ssp126,P1,88.63657713930237,90.21165356082757,89.09437558272786,87.92560295853269,92.2541983752732
af,ssp126,P2,90.17642109855868,91.23121620887235,90.80622688271605,89.46689499320692,92.0943382990726
af,ssp126,P3,90.48568580830232,91.37117393171481,91.05209707366059,89.87518245909386,92.4350409176561
af,ssp126,P4,90.70740195574163,91.5746606835903,91.1988385059661,89.84157408470672,92.67483294287908
af,ssp245,P1,88.84381497135094,89.79900206937799,89.26795112484494,88.09505622541201,90.70512990962253
af,ssp245,P2,91.18026747526434,92.83770182098766,91.86601789429382,90.1623993177388,94.2289741325536
af,ssp245,P3,94.15643745554964,95.36723947538248,94.80840394352886,93.25836114684861,96.3207929978144
af,ssp245,P4,96.45634281639494,96.98817422913345,96.64917401692362,95.67033792811154,97.49610865054049
af,ssp370,P1,88.8134540180312,90.10939379112764,89.19032241390514,87.53877061403507,91.25218328430505
af,ssp370,P2,91.51763055082995,93.55243131660168,92.94795466979738,90.73056733002541,95.07357819304153
af,ssp370,P3,95.8945640632199,98.1632407338,97.2253477407112,95.25648431773878,99.84711370606652
af,ssp370,P4,99.95924739987596,102.01600023812688,101.1606887056235,98.23916192982456,103.50571111849489
af,ssp585,P1,88.68607582535886,89.97061099562879,89.21224380855337,87.39829136186425,90.7591419144663
af,ssp585,P2,91.45516181205328,94.3211195070589,92.89518255523066,88.91019059070236,95.48838974629335
af,ssp585,P3,95.61257650813693,98.33442141583967,96.55062612425424,94.13872039665664,100.37033996367181
af,ssp585,P4,101.90223847495423,104.80217224895149,103.3915578508772,98.87951701518105,107.00828293519996
as,hist,P0,22.525650812633824,22.925861728224227,22.779695200332558,22.294286787959546,23.23625775044417
as,ssp126,P1,23.702124745028698,24.174659266690586,23.895106273461344,23.224889945560566,24.80033479761742
as,ssp126,P2,24.77641999954444,25.158208345064008,24.9781066188898,24.33148856339119,25.48820114653091
as,ssp126,P3,24.993436252904193,25.592329843885242,25.2634832909093,24.450781929183183,26.306883115689494
as,ssp126,P4,24.943694634897046,25.459463837752274,25.219648107489405,24.656011857432464,26.041204861851398
as,ssp245,P1,23.594347082308325,23.977738871378296,23.762451163557465,23.22328550419115,24.53547315725935
as,ssp245,P2,25.09324416641041,25.764297689313693,25.47811539650813,24.236902569814582,26.533325185754634
as,ssp245,P3,26.41030859772903,26.81806482543506,26.658962556945013,26.203173405197944,27.389001663022185
as,ssp245,P4,27.168350408039494,27.714944239300024,27.348297114596143,26.751900512619017,28.11674032834495
as,ssp370,P1,23.370535865592682,24.049801095821373,23.844819506229783,22.82983765386543,24.460070090770348
as,ssp370,P2,24.5415570493941,25.428690801871213,25.173339837877542,23.917334313129246,26.71778446836135
as,ssp370,P3,26.442783643769072,27.846952640597237,27.316462320850988,25.900640799280218,28.487798314085914
as,ssp370,P4,29.341810588241994,30.548629039593866,29.802189833321947,28.158400722973894,31.599120090998134
as,ssp585,P1,23.841889401109288,24.630106853617146,24.019217310942555,23.296372608081633,25.713013732631765
as,ssp585,P2,25.846594139162228,27.286469098959046,26.51359208156804,24.88054947861145,28.57710125392921
as,ssp585,P3,28.83717156949,30.711743652680966,29.942013701938407,27.742161380005466,31.870737095234844
as,ssp585,P4,33.40041420362398,35.17341664078516,34.46662936830896,31.483975638923056,37.01146942269144
oc,hist,P0,24.013007440292938,25.85285512501166,25.259792153885623,23.25094535777591,26.468660181453494
oc,ssp126,P1,26.079260671937682,28.38716596779084,28.0148854184159,23.000524132381756,29.994961029946822
oc,ssp126,P2,28.72490269078272,30.483511633314677,29.471352486006154,27.459539239667883,31.298282113536715
oc,ssp126,P3,28.639306756110642,31.002281407547343,29.35658407314115,26.695688796529524,31.936607194234533
oc,ssp126,P4,27.640814695284078,29.521298071415245,28.737745172823956,26.36138022343502,30.531777289859132
oc,ssp245,P1,27.01288460630656,28.384005735493048,27.525033000279876,26.35619963989178,29.840962430264018
oc,ssp245,P2,28.65976080359642,30.627918180333985,30.040289476397056,27.717042538483067,31.401127403675716
oc,ssp245,P3,29.56052323747551,31.512956027731132,30.47227479942159,28.777133588954197,32.636694362347235
oc,ssp245,P4,30.549844872306185,32.46453412958299,31.57143455359642,28.55308143343596,34.30614834079672
oc,ssp370,P1,25.88268518576826,27.9241317512128,26.63043887582797,23.7863908634201,29.749170431476813
oc,ssp370,P2,28.391094157454052,30.878385360574683,29.309587333706503,26.81766157897192,32.93102662281929
oc,ssp370,P3,29.527294964665547,33.98013980840097,30.79741373215785,27.942957637372885,36.81847701418043
oc,ssp370,P4,34.121182316214195,36.10421255539229,35.31133220286407,31.93463435721616,39.049193710234164
oc,ssp585,P1,26.75017985084896,28.20627460245825,27.432518522949902,25.32982089374009,29.84131990390895
oc,ssp585,P2,28.043210729312435,31.050490877180707,29.25607394649688,26.00138302826756,33.39563584709395
oc,ssp585,P3,32.678056293147684,35.11395877262338,33.889311585502384,30.9406066046273,36.788184616568714
oc,ssp585,P4,37.730852813928536,39.993811320435675,38.81989709464503,34.99531653745686,43.285003904282114
gl,hist,P0,30.75059819548266,31.011532941412458,30.946477692523246,30.674630251832497,31.268836824959077
gl,ssp126,P1,32.601023453393246,33.06955588696769,32.802651043979964,32.22942379675997,33.76893266480393
